56660.209	662.6	8.089
56664.513	667.9	9.226
56669.5	643.7	13.96
56683.48	672.6	7.263
56686.473	693.2	7.815
56696.778	662.0	6.701
56713.426	687.2	29.24
56715.388	676.9	6.59
56717.334	683.4	6.587
56720.446	684.2	6.622
56722.387	673.5	5.79
56726.457	688.2	6.626
56739.41	688.8	5.952
56745.281	672.6	6.021
56747.416	687.7	7.334
56749.373	688.3	6.438
56751.34	685.7	6.313
56755.341	700.4	7.25
56768.227	703.0	6.275
56772.234	678.5	6.071
56780.234	712.7	6.222
56782.247	706.3	6.345
56783.248	704.9	6.099
56795.175	695.5	6.892
56799.212	710.3	6.219
56804.187	719.4	7.123
56808.259	742.2	7.607
56813.227	735.8	6.375
56825.186	740.3	6.382
56829.211	748.7	6.478
56833.21	757.6	6.696
56837.189	762.4	6.077
57038.487	767.9	9.17
57050.294	787.7	7.926
57067.372	777.3	8.203
57082.473	801.6	8.208
57097.48	822.8	10.32
57106.472	800.6	7.74
57127.217	827.2	8.554
57135.173	806.1	7.932
57159.165	798.3	8.091
57166.165	817.2	8.231
57185.171	816.6	7.812
57195.598	846.0	6.834
57428.45	933.2	8.845
57435.404	927.4	9.611
57451.456	967.6	9.172
57463.401	1025.0	9.296
57480.602	1010.0	9.145
57490.225	1012.0	12.62
57492.342	1038.0	9.601
57510.319	1068.0	9.402
57518.313	998.9	7.777
57543.453	1049.0	8.961
57550.163	1040.0	16.48
57570.201	1023.0	10.41
57576.163	1067.0	12.46
57780.773	1070.0	9.311
57789.442	1047.0	9.759
57805.348	983.3	10.3
57817.317	976.0	8.618
57831.769	984.7	10.01
57843.264	994.5	8.948
57859.22	971.0	9.753
57874.208	983.9	8.054
57892.294	1011.0	10.2
57901.209	1004.0	9.312
57918.164	996.7	10.34
57933.421	957.0	7.245
58127.033	897.3	7.406
58146.422	898.9	8.59
58174.079	901.4	6.876
58201.269	823.5	11.49
58216.413	859.6	6.85
58230.276	874.4	7.583
58258.285	882.1	8.143
58274.302	847.2	9.931
58289.206	843.3	6.43
58502.473	839.6	7.253
58531.501	896.7	10.12
58560.572	907.1	7.584
58587.123	889.7	7.347
58617.376	843.3	12.93
58626.784	853.6	8.117
58646.231	857.1	13.51
58656.686	869.6	7.399
58867.438	1024.0	10.72
58895.415	1040.0	9.304
59010.299	1024.0	13.84
59029.196	1028.0	10.01
